step,label,alpha,date,precision,Pb_recall,Ti_recall,O_recall,Pb_recall_bulk,Ti_recall_bulk,O_recall_bulk,xy_rms,z_rms,Pb_zrms,Ti_zrms,O_zrms,confusion,n_found,n_matched,fp_total,fp_Pb,fp_Ti,fp_O,c1_true,c1_fit,c1_halfwidth,c1_within,c1_source,note,report
1,"focus fitted, corrector fixed",70,2026-09-21,0.958963282937365,0.936,0.8301886792452831,0.6867816091954023,0.9733333333333334,0.9402985074626866,0.7916666666666666,0.0372100744725269,0.5857964613181897,0.49951881220791866,0.46127002177118115,0.6610643008492231,0.02702702702702703,463,444,19,4,0,15,-60.0,-62.0,3.0,True,a70_lab_n50,lab + matched kernels reconstructed at the fitted focus,/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_a70_fitC1/report.json
1,"focus fitted, corrector fixed",90,2026-09-21,0.926391382405745,0.904,0.8679245283018868,0.8936781609195402,0.9,0.8333333333333334,0.8649789029535865,0.023334208977940554,0.4433963691963266,0.42368130233264534,0.3551632774895931,0.47292157300864557,0.0,557,516,41,0,0,41,-160.0,-158.0,1.0,False,a90_lab_n50,lab + matched kernels reconstructed at the fitted focus,/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_a90_fitC1/report.json
3,thermal vibration (16 configs),70,2026-09-21,0.8455882352941176,0.464,0.32075471698113206,0.06609195402298851,0.7066666666666667,0.3469387755102041,0.10059171597633136,0.20103320964577945,1.0075480013477016,1.1789879571794273,0.8017718530475,0.787548910714055,0.41739130434782606,136,115,21,8,6,7,,,,,,room-temperature per-species amplitudes; known probe,/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_a70_ph16/report.json
3,thermal vibration (16 configs),90,2026-09-21,0.9064039408866995,0.648,0.41509433962264153,0.16954022988505746,0.59,0.3888888888888889,0.1729957805907173,0.1430055247614009,0.8202063698890478,1.0101435999464632,0.5494100357546765,0.6870573888077236,0.22282608695652173,203,184,19,4,0,15,,,,,,room-temperature per-species amplitudes; known probe,/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_a90_ph16/report.json
4,"six-fold astigmatism, 0.6 waves",70,2026-09-21,0.8951048951048951,0.328,0.20754716981132076,0.1867816091954023,0.38666666666666666,0.234375,0.1712962962962963,0.23330368325270223,0.9712295141017808,0.8607239278736597,0.6765698409059498,1.111448154904797,0.328125,143,128,15,1,4,10,,,,,,"alpha 70 mrad, known probe, noiseless",/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_nr1_C56_0p6w/report.json
4,"six-fold astigmatism, 1.2 waves",70,2026-09-21,0.8214285714285714,0.104,0.11320754716981132,0.0603448275862069,0.06666666666666667,0.061224489795918366,0.08875739644970414,0.249976566818518,1.0309535832038648,1.2420824147664205,0.6097686904658324,1.0773423136579707,0.5,56,46,10,1,4,5,,,,,,"alpha 70 mrad, known probe, noiseless",/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_nr2_C56_1p2w/report.json
4,"six-fold astigmatism, 1.2 waves + four-fold",70,2026-09-21,0.8278688524590164,0.232,0.11320754716981132,0.1724137931034483,0.25333333333333335,0.20408163265306123,0.22485207100591717,0.24872059487359602,0.9534666536888117,0.880933084764538,0.48967025549113913,1.0522704914045573,0.40594059405940597,122,101,21,1,8,12,,,,,,"alpha 70 mrad, known probe, noiseless",/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_nr4_C56_C34/report.json
4,"six-fold astigmatism, 2.5 waves",70,2026-09-21,0.75,0.168,0.05660377358490566,0.0603448275862069,0.17,0.06944444444444445,0.06751054852320675,0.3335438809193559,0.9483445261360565,0.9468478997120302,0.5361916088574596,1.0377907816190024,0.4583333333333333,64,48,16,0,2,14,,,,,,"alpha 70 mrad, known probe, noiseless",/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_nr3_C56_2p5w/report.json
