alpha,mode,niter,c1,dc1,rep,final_error,last_iter,n_rows,complete,finite,self_check,d90,z_centroid,z_entrance,z_exit,z_source,dir
70,lab,50,-10.0,50.0,1,84.968475,50,20,True,True,,5.313242088004804,15.334372190527656,2.349962794306407,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-10_n50_NL14
70,lab,50,0.0,60.0,1,79.781029,50,20,True,True,,6.369215131809423,16.402811233358545,2.789013524059221,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df0_n50_NL14
70,lab,200,-80.0,-20.0,1,57.874474,200,31,True,True,,7.030821543819285,10.764285582403557,1.9660714285714285,4.501408663868182,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n200_20260917_180049/recon_c1_a70_lab_df-80_n200_NL14
70,lab,200,-70.0,-10.0,1,31.344545,200,31,True,True,,5.18896544040456,8.427706340353835,1.9660714285714285,4.637864717832372,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n200_20260917_180049/recon_c1_a70_lab_df-70_n200_NL14
70,lab,200,-64.0,-4.0,1,22.112803,200,31,True,True,,4.390669579579732,11.111868385826492,1.9660714285714285,19.23299556910457,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n200_20260917_180049/recon_c1_a70_lab_df-64_n200_NL14
70,lab,200,-60.0,0.0,1,24.332661,200,31,True,True,PASS,3.8635970558885906,13.98315863222774,4.070709981882214,23.90537172434733,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n200_20260917_180049/recon_c1_a70_lab_df-60_n200_NL14
70,lab,200,-56.0,4.0,1,246.20419,200,31,True,True,,3.344528167626002,14.567908677346518,2.0528861085276473,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n200_20260917_180049/recon_c1_a70_lab_df-56_n200_NL14
70,lab,200,-50.0,10.0,1,274.17856,200,31,True,True,,2.5809392924663754,14.691627845873331,2.0093592681123624,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n200_20260917_180049/recon_c1_a70_lab_df-50_n200_NL14
70,lab,200,-40.0,20.0,1,253.502,200,31,True,True,,2.564027240194869,14.992000760860671,2.189569420701526,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n200_20260917_180049/recon_c1_a70_lab_df-40_n200_NL14
90,lab,50,-220.0,-60.0,1,51.192272,50,20,True,True,,16.21454345877477,14.688411517234341,1.1967391304347825,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-220_n50_NL23
90,lab,50,-210.0,-50.0,1,49.570728,50,20,True,True,,14.531298961799036,14.067718506512879,1.1967391304347825,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-210_n50_NL23
90,lab,50,-200.0,-40.0,1,47.616573,50,20,True,True,,12.81787362434097,13.69893856644243,1.1967391304347825,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-200_n50_NL23
90,lab,50,-190.0,-30.0,1,50.943214,50,20,True,True,,11.112573194936365,11.814486566887927,1.1967391304347825,12.85025704420973,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-190_n50_NL23
90,lab,50,-180.0,-20.0,1,142.47655,50,20,True,True,,9.398747686094632,8.13893433444392,0.5983695652173913,1.546686347986104,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-180_n50_NL23
90,lab,50,-170.0,-10.0,1,20.314774,50,20,True,True,,7.670054851046977,9.845013787934704,1.1967391304347825,2.741624593353665,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-170_n50_NL23
90,lab,50,-170.0,-10.0,2,20.355999,50,20,True,True,,7.670054851046977,10.16149514068055,1.1967391304347825,2.740941450493917,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-170_r2_n50_NL23
90,lab,50,-168.0,-8.0,1,12.820613,50,20,True,True,,7.348179678554295,8.756900739465864,1.1967391304347825,2.7719214829928656,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-168_n50_NL23
90,lab,50,-166.0,-6.0,1,8.5843678,50,20,True,True,,7.06374654674766,7.968491338617417,1.1887979513416114,2.804006364897158,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-166_n50_NL23
90,lab,50,-164.0,-4.0,1,6.8195806,50,20,True,True,,6.812931642051664,10.215531839132874,1.1967391304347825,13.801305776336216,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-164_n50_NL23
90,lab,50,-162.0,-2.0,1,7.7375088,50,20,True,True,,6.689056335252004,12.595788307923787,1.6336469397675932,21.51530358209295,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-162_n50_NL23
90,lab,50,-160.0,0.0,1,6.3556714,50,20,True,True,PASS,6.529613467763887,13.936906762701648,4.469492458092876,23.140010591804472,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-160_n50_NL23
90,lab,50,-160.0,0.0,2,6.4562111,50,20,True,True,PASS,6.529613467763887,13.948909639209802,4.470958811771432,23.140594363701055,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-160_r2_n50_NL23
90,lab,50,-160.0,0.0,3,6.3907585,50,20,True,True,PASS,6.529613467763887,13.940437670303549,4.467127869684772,23.14289437999781,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-160_r3_n50_NL23
90,lab,50,-158.0,2.0,1,6.1791353,50,20,True,True,,6.649190552608817,15.458617729844825,6.689323993495113,25.190519692128177,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-158_n50_NL23
90,lab,50,-156.0,4.0,1,6.4289699,50,20,True,True,,6.686887966400847,17.350146888190242,8.952887236333742,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-156_n50_NL23
90,lab,50,-154.0,6.0,1,7.4980555,50,20,True,True,,6.846904501665325,18.809320876498205,25.80451008630278,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-154_n50_NL23
90,lab,50,-152.0,8.0,1,9.9743338,50,20,True,True,,7.080151631463661,19.429333890950144,25.899041095969164,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-152_n50_NL23
90,lab,50,-150.0,10.0,1,12.251616,50,20,True,True,,7.120998999023076,19.558440505902944,26.014549696772992,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-150_n50_NL23
90,lab,50,-150.0,10.0,2,12.243421,50,20,True,True,,7.120998999023076,19.55827800006969,26.01459336103927,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-150_r2_n50_NL23
90,lab,50,-140.0,20.0,1,30.907688,50,20,True,True,,8.208892483564911,18.616773554958115,26.116027807741624,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-140_n50_NL23
90,lab,50,-130.0,30.0,1,44.401379,50,20,True,True,,9.477112487291315,17.358305772685767,26.076290787822018,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-130_n50_NL23
90,lab,50,-120.0,40.0,1,47.202324,50,20,True,True,,10.818089630256857,15.665372182164361,1.5089270769362888,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-120_n50_NL23
90,lab,50,-110.0,50.0,1,48.53228,50,20,True,True,,12.19638267869194,16.120781769236896,17.63745845650423,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-110_n50_NL23
90,lab,50,-100.0,60.0,1,49.788212,50,20,True,True,,13.587850268365061,15.934918949566203,1.7397384951991222,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n50_20260917_180050/recon_c1_a90_lab_df-100_n50_NL23
90,lab,200,-180.0,-20.0,1,132.93137,200,31,True,True,,9.398747686094632,10.08652315238806,0.5983695652173913,1.3585151522370695,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n200_20260917_180050/recon_c1_a90_lab_df-180_n200_NL23
90,lab,200,-170.0,-10.0,1,16.9639,200,31,True,True,,7.670054851046977,9.360786808275076,1.1967391304347825,2.726554511906793,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n200_20260917_180050/recon_c1_a90_lab_df-170_n200_NL23
90,lab,200,-164.0,-4.0,1,5.962853,200,31,True,True,,6.812931642051664,10.094915773856801,1.1967391304347825,10.632541490700607,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n200_20260917_180050/recon_c1_a90_lab_df-164_n200_NL23
90,lab,200,-160.0,0.0,1,5.812335,200,31,True,True,PASS,6.529613467763887,13.984918125823402,4.586969658371329,23.045449730326297,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n200_20260917_180050/recon_c1_a90_lab_df-160_n200_NL23
90,lab,200,-156.0,4.0,1,5.753777,200,31,True,True,,6.686887966400847,17.372895101130126,9.343021282689437,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n200_20260917_180050/recon_c1_a90_lab_df-156_n200_NL23
90,lab,200,-150.0,10.0,1,11.265356,200,31,True,True,,7.120998999023076,19.888702163215505,25.985917090102316,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n200_20260917_180050/recon_c1_a90_lab_df-150_n200_NL23
90,lab,200,-140.0,20.0,1,28.540926,200,31,True,True,,8.208892483564911,18.9521832133535,26.094540533244025,26.926630434782606,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a90_n200_20260917_180050/recon_c1_a90_lab_df-140_n200_NL23
