alpha,mode,variant,niter,rep,c1_true,c1_start,dc1_start,status,nan_in_log,power_ratio,final_error,ov_start,ov_final,c1_final,dc1_final,ov_best_c1,c1_fit_at_edge,slab_centroid,slab_z0,slab_z1,dir
90,lab,fixed,200,1,-160.0,-192.0,-32.0,ok,False,0.00107923947577734,129.26971,0.047157670713713185,0.04715766789535213,-192.00156020515288,-32.001560205152884,0.9988544002396322,False,9.374246574992641,0.5983695652173913,1.33726894329232,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_20260917_181650/recon_c1fit_a90_lab_df-192_n200_NL23
90,lab,fixed,200,1,-160.0,-176.0,-16.0,ok,False,3.5729893232864143,27.331453,0.07543881141474738,0.07543882537277453,-175.99724538142124,-15.997245381421237,0.9991993590627489,False,11.03280551425948,1.1967391304347825,2.6684981486286428,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_20260917_181650/recon_c1fit_a90_lab_df-176_n200_NL23
90,lab,fixed,200,1,-160.0,-144.0,16.0,ok,False,3.176025566935356,21.480919,0.07544011531242129,0.07544010056440563,-144.00275467301432,15.997245326985677,0.9991993907355075,False,19.33241545413914,26.052760939081832,26.926630434782606,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_20260917_181650/recon_c1fit_a90_lab_df-144_n200_NL23
90,lab,fixed,200,1,-160.0,-128.0,32.0,ok,False,4.402604741548955,42.709068,0.0471578124249322,0.04715780072109682,-127.99843980993475,32.00156019006525,0.9988543835467447,False,17.096140364333888,20.952421019293876,26.926630434782606,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_20260917_181650/recon_c1fit_a90_lab_df-128_n200_NL23
90,lab,update 40 (presolve only),200,1,,-192.0,,NO H5 (crashed?),True,,,,,,,,,,,,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40_20260917_181650/recon_c1fit_a90_lab_df-192_ps40_n200_NL23
90,lab,update 40 (presolve only),200,1,-160.0,-176.0,-16.0,ok,False,3.4873765008411324,25.617226,0.07543881141474738,0.06912345911180513,-175.55599510064647,-15.55599510064647,0.9930129860000624,False,10.54485906814475,1.1967391304347825,2.664688862411086,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40_20260917_181650/recon_c1fit_a90_lab_df-176_ps40_n200_NL23
90,lab,update 40 (presolve only),200,1,-160.0,-160.0,0.0,ok,False,2.73480478828629,3.676883,0.9999999999502668,0.9992966713050706,-160.00240690804517,-0.00240690804517385,0.9992966713050706,False,13.94410999250526,4.570523985014179,23.02825112606758,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40_20260917_181650/recon_c1fit_a90_lab_df-160_ps40_n200_NL23
90,lab,update 40 (presolve only),200,1,-160.0,-144.0,16.0,ok,False,3.1027842608438805,20.222204,0.07544011531242129,0.0686554409565745,-144.39170790976988,15.608292090230123,0.9951975617958351,False,19.407892332643776,26.053875334839983,26.926630434782606,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40_20260917_181650/recon_c1fit_a90_lab_df-144_ps40_n200_NL23
90,lab,update 40 (presolve only),200,1,-160.0,-128.0,32.0,ok,False,4.257507920159742,41.648895,0.04715781248867674,0.03972954408975737,-128.1186643841973,31.881335615802698,0.9772006156034563,False,17.205633934620387,20.78437639373645,26.926630434782606,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40_20260917_181650/recon_c1fit_a90_lab_df-128_ps40_n200_NL23
90,lab,update 40+20,200,1,,-192.0,,NO H5 (crashed?),True,,,,,,,,,,,,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40x20_20260917_181650/recon_c1fit_a90_lab_df-192_ps40x20_n200_NL23
90,lab,update 40+20,200,1,-160.0,-176.0,-16.0,ok,False,3.583144862229233,24.537519,0.07543881141474738,0.08613436855926752,-174.88259439956374,-14.882594399563743,0.9826743346692929,False,11.187649856847178,1.1967391304347825,2.6677050807867673,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40x20_20260917_181650/recon_c1fit_a90_lab_df-176_ps40x20_n200_NL23
90,lab,update 40+20,200,1,-160.0,-160.0,0.0,ok,False,2.73465210121694,3.7006915,0.9999999999502668,0.9985846912822036,-160.0099483673918,-0.00994836739178595,0.9985846912822036,False,13.93791784032564,4.564870237964393,23.025043024652884,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40x20_20260917_181650/recon_c1fit_a90_lab_df-160_ps40x20_n200_NL23
90,lab,update 40+20,200,1,-160.0,-144.0,16.0,ok,False,3.0146848576686303,18.638601,0.07544011531242129,0.07501164014659091,-145.18968449414155,14.810315505858455,0.9890707187257329,False,19.41980208856882,26.056456226787684,26.926630434782606,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40x20_20260917_181650/recon_c1fit_a90_lab_df-144_ps40x20_n200_NL23
90,lab,update 40+20,200,1,-160.0,-128.0,32.0,ok,False,4.320808114407552,40.375374,0.04715781248867674,0.04446621760070095,-128.3407539318418,31.65924606815821,0.9176748354091074,False,17.279664563419825,21.02381730140554,26.926630434782606,/Users/u2109287/Desktop/relax_0917/c1fit_results_a90_n200_ps40x20_20260917_181650/recon_c1fit_a90_lab_df-128_ps40x20_n200_NL23
