# round alpha-sweep probe plan | C5=1e+07 A (1mm) | target d90=4.0 A
# alpha=semiangle(mrad) c3=C30/Cs(A) c1=defocus(A) df_perf=aberr-free 4A defocus(A)
label	alpha	c5	c3	c1	df_perf	bin	nl	aber_json	d50	d90	d99	note
a030	30	10000000.0	10000.0	-50.0	-50.0	4	1	-	2.1384712020579677	4.040845230367188	11.525555949341717	ok
a050	50	10000000.0	-40000.0	0.0	-40.0	4	3	-	2.275369668626672	4.011853773896178	8.365578889488162	ok
a070	70	10000000.0	-40000.0	2.0	-30.0	4	6	-	2.8222487294044445	3.939313198587096	8.183850122774198	ok
a090	90	10000000.0	-90000.0	-160.0	-24.0	2	10	-	4.446952959611783	6.550980402831415	15.51705879893259	FLOOR>6.6
a100	100	10000000.0	-110000.0	-238.0	-22.0	2	12	-	7.522853365173766	10.993786530816225	25.675832061508373	FLOOR>11.0
a110	110	10000000.0	-120000.0	-240.0	-20.0	1	14	-	11.561246236923651	24.438581437868127	50.4757184865979	FLOOR>24.4
a120	120	10000000.0	-130000.0	-268.0	-18.0	1	17	-	17.558582887232458	46.75913414485519	72.60519879855798	FLOOR>46.8
