alpha,dz,precision,xy_rms,z_rms,n_found,confusion,Pb_recall,Pb_recall_bulk,Pb_zrms,Ti_recall,Ti_recall_bulk,Ti_zrms,O_recall,O_recall_bulk,O_zrms
50,3.932,0.9044943820224719,0.12589454140446474,1.1960890050335218,356,0.17701863354037267,0.648,0.6666666666666666,0.9128699247755222,0.44339622641509435,0.43137254901960786,0.9628431716955307,0.5574712643678161,0.5443786982248521,1.3423907530186647
70,1.966,0.9794238683127572,0.04351056640746176,0.5553922254033894,486,0.012605042016806723,0.944,0.9753086419753086,0.5590588790870381,0.8584905660377359,0.8194444444444444,0.4537353895162601,0.7672413793103449,0.75,0.5844809001083875
90,1.1967,0.9397590361445783,0.0261335265198556,0.3721752600091723,581,0.0,0.936,0.9466666666666667,0.3948691972051726,0.9433962264150944,0.9444444444444444,0.3339468236357255,0.9454022988505747,0.9490740740740741,0.37487177378896
100,0.983,0.9865125240847784,0.032327966711122195,0.44853133026201086,519,0.03125,0.944,0.96,0.404824232506844,0.9245283018867925,0.9444444444444444,0.4559179836616463,0.8505747126436781,0.875,0.4624252649937537
